field,group,model,n,n_bonafide,n_spoof,eer,far,frr,fp,fn
speaker,LA_0002,AASIST,1004,68,936,12.974484665661134,0.06623931623931624,0.20588235294117646,62,14
speaker,LA_0038,AASIST,1004,68,936,12.974484665661134,0.045940170940170943,0.29411764705882354,43,20
speaker,LA_0041,AASIST3,1784,146,1638,12.269389666649943,0.36385836385836384,0.00684931506849315,596,1
speaker,LA_0022,AASIST3,1784,146,1638,12.08623948349976,0.21794871794871795,0.04794520547945205,357,7
speaker,LA_0020,AASIST3,1784,146,1638,11.591148577449948,0.23809523809523808,0.03424657534246575,390,5
speaker,LA_0048,LFCC+LCNN,1004,68,936,11.384489693313224,0.1485042735042735,0.058823529411764705,139,4
speaker,LA_0025,LFCC+LCNN,1004,68,936,11.170814479638011,0.11538461538461539,0.07352941176470588,108,5
speaker,LA_0044,AASIST3,1004,68,936,10.649195575666162,0.1282051282051282,0.07352941176470588,120,5
speaker,LA_0042,AASIST-L,1784,146,1638,10.356766521150082,0.1043956043956044,0.1095890410958904,171,16
speaker,LA_0005,LFCC+LCNN,1004,68,936,10.275263951734539,0.12072649572649573,0.08823529411764706,113,6
speaker,LA_0017,AASIST3,1784,146,1638,10.112566276949837,0.2612942612942613,0.0410958904109589,428,6
speaker,LA_0032,AASIST-L,1004,68,936,10.061588738059324,0.07051282051282051,0.14705882352941177,66,10
speaker,LA_0002,AASIST-L,1004,68,936,10.00816993464052,0.09188034188034189,0.14705882352941177,86,10
speaker,LA_0022,LFCC+LCNN,1784,146,1638,9.648000401425062,0.18986568986568986,0.0,311,0
speaker,LA_0041,AASIST-L,1784,146,1638,9.281700035124697,0.08180708180708181,0.14383561643835616,134,21
speaker,LA_0040,AASIST-L,1004,68,936,9.059200603318251,0.021367521367521368,0.2647058823529412,20,18
speaker,LA_0013,AASIST3,1004,68,936,8.898944193061842,0.09081196581196581,0.08823529411764706,85,6
speaker,LA_0005,AASIST3,1004,68,936,8.631850175967823,0.13568376068376067,0.07352941176470588,127,5
speaker,LA_0030,AASIST-L,1004,68,936,7.629462041226745,0.09935897435897435,0.058823529411764705,93,4
speaker,LA_0004,AASIST-L,1784,146,1638,7.613277133825077,0.050061050061050064,0.1095890410958904,82,16
speaker,LA_0030,AASIST,1004,68,936,7.576043237807942,0.029914529914529916,0.22058823529411764,28,15
speaker,LA_0042,AASIST,1784,146,1638,7.5522270727750165,0.038461538461538464,0.14383561643835616,63,21
speaker,LA_0019,AASIST-L,1784,146,1638,7.521702042249986,0.051892551892551896,0.10273972602739725,85,15
speaker,LA_0039,AASIST-L,1784,146,1638,7.491177011724956,0.0989010989010989,0.04794520547945205,162,7
speaker,LA_0013,AASIST-L,1004,68,936,7.469205630970335,0.060897435897435896,0.11764705882352941,57,8
speaker,LA_0032,AASIST,1004,68,936,7.469205630970335,0.02564102564102564,0.14705882352941177,24,10
speaker,LA_0016,AASIST-L,1784,146,1638,7.430126950674895,0.07264957264957266,0.0821917808219178,119,12
speaker,LA_0044,AASIST-L,1004,68,936,7.041855203619907,0.05555555555555555,0.11764705882352941,52,8
speaker,LA_0021,AASIST-L,1004,68,936,6.881598793363497,0.0641025641025641,0.07352941176470588,60,5
speaker,LA_0012,AASIST-L,1784,146,1638,6.873985983575028,0.020757020757020756,0.2808219178082192,34,41
speaker,LA_0026,AASIST-L,1784,146,1638,6.721360830949874,0.09523809523809523,0.03424657534246575,156,5
speaker,LA_0007,AASIST-L,1004,68,936,6.3599798893916555,0.09188034188034189,0.029411764705882353,86,2
speaker,LA_0009,AASIST-L,1784,146,1638,6.348370047000184,0.07020757020757021,0.0547945205479452,115,8
speaker,LA_0037,AASIST-L,1784,146,1638,6.317845016475154,0.01221001221001221,0.3082191780821918,20,45
speaker,LA_0023,AASIST-L,1004,68,936,6.146304675716441,0.12072649572649573,0.014705882352941176,113,1
speaker,LA_0004,AASIST,1784,146,1638,6.0736447722749105,0.07936507936507936,0.0273972602739726,130,4
speaker,LA_0031,AASIST-L,1784,146,1638,6.04311974174988,0.10744810744810745,0.02054794520547945,176,3
speaker,LA_0017,AASIST-L,1784,146,1638,5.951544650174788,0.07875457875457875,0.0410958904109589,129,6
speaker,LA_0005,AASIST-L,1004,68,936,5.932629462041228,0.06196581196581197,0.058823529411764705,58,4
speaker,LA_0001,AASIST-L,1004,68,936,5.879210658622424,0.07371794871794872,0.04411764705882353,69,3
speaker,LA_0048,AASIST-L,1004,68,936,5.772373051784816,0.07585470085470085,0.014705882352941176,71,1
speaker,LA_0040,AASIST,1004,68,936,5.66553544494721,0.01282051282051282,0.14705882352941177,12,10
speaker,LA_0033,AASIST-L,1784,146,1638,5.63960392727516,0.0695970695970696,0.0547945205479452,114,8
speaker,LA_0016,AASIST,1784,146,1638,5.578553866225098,0.08058608058608059,0.03424657534246575,132,5
speaker,LA_0027,AASIST-L,1784,146,1638,5.517503805175037,0.06837606837606838,0.0410958904109589,112,6
speaker,LA_0014,AASIST-L,1784,146,1638,5.425928713599946,0.07203907203907203,0.0410958904109589,118,6
