field,group,model,mode,n,n_group,n_bonafide,n_spoof,eer,far,frr,fp,fn
codec,nocodec,AASIST3,within_group,171602,171602,35149,136453,27.56442183444978,0.5045913244853539,0.1043272923838516,68853,3667
codec,C03,XLS-R+AASIST,within_group,47987,47987,9710,38277,27.47773526960109,0.1556287065339499,0.3350154479917611,5957,3253
codec,C02,XLS-R+AASIST,within_group,47426,47426,9654,37772,25.138753261448244,0.14780790003176955,0.3166563082660037,5583,3057
codec,C08,XLS-R+Nes2Net,within_group,46678,46678,9003,37675,24.933892344813763,0.2600398142003981,0.2465844718427191,9797,2220
codec,C01,XLS-R+Nes2Net,within_group,47253,47253,9534,37719,23.72420291009212,0.1870145019751319,0.24701069855254879,7054,2355
codec,C09,XLS-R+AASIST,within_group,41599,41599,8994,32605,22.506929341399776,0.15690844962429076,0.28574605292417166,5116,2570
codec,C08,XLS-R+AASIST,within_group,46678,46678,9003,37675,22.13688042200193,0.2310019907100199,0.21581694990558703,8703,1943
codec,C01,XLS-R+AASIST,within_group,47253,47253,9534,37719,19.327589224221086,0.1677934197619237,0.20411160058737152,6329,1946
codec,C06,XLS-R+Nes2Net,within_group,41554,41554,8976,32578,8.198645272462231,0.21207563386334335,0.05804367201426025,6909,521
codec,C11,XLS-R+AASIST,within_group,46610,46610,8991,37619,8.005971095101586,0.23488130997634174,0.03203203203203203,8836,288
codec,C06,XLS-R+AASIST,within_group,41554,41554,8976,32578,7.767099055506876,0.21941187304315796,0.02729500891265597,7148,245
codec,C11,XLS-R+Nes2Net,within_group,46610,46610,8991,37619,5.819227197756368,0.2573965283500359,0.03214325436547659,9683,289
codec,C05,XLS-R+AASIST,within_group,47541,47541,9693,37848,4.806829739587454,0.2324561403508772,0.010007221706386052,8798,97
codec,C05,XLS-R+Nes2Net,within_group,47541,47541,9693,37848,4.113903037584862,0.21327414922849292,0.02816465490560198,8072,273
codec,nocodec,XLS-R+AASIST,within_group,171602,171602,35149,136453,3.77839590085481,0.2339340285666127,0.0046089504680076245,31921,162
codec,nocodec,XLS-R+Nes2Net,within_group,171602,171602,35149,136453,2.714323746197729,0.21752544832286574,0.010782668070215369,29682,379
